# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
43,1784093507.854103,,4.509866123262327,,4.680779641494155,,8.09296514838934,,1.829933327389881,,3.251865589991212,,1.8754077854100615,,3.4396204818040133,,5.875,0.0,0.0,0.0,0.0,7077888,3161,3456,216,-83.96188,0.05922143612988293,-0.0002588305185781792,0.956431406736374,0,0.0,0.0,0.0,,,1.4793298261124257,0,0,0.0,-82.751854,-82.7518539428711,0.0,1465.8204398661712
44,1784093614.5979068,,6.526291631162167,,4.968550577759743,,7.364558023400605,,1.4230353523453232,,2.7975346613675356,,2.1966518531553447,,3.5716609796509147,,5.5,0.0,0.0,0.0,0.0,7241728,3241,3536,221,-86.39229,0.0670146306976676,0.00021347401634557172,0.9154130227863788,0,0.0,0.0,0.0,,,1.522956962833042,0,0,0.0,-87.25239,-87.25238800048828,0.0,1534.8953824704681
45,1784093732.6290913,,5.947949164547026,,3.1442220567259938,,7.687444053590298,,1.0511200921609998,,3.266744613647461,,2.0853115944191813,,3.637305237352848,,5.4375,0.0,0.0,0.0,0.0,7405568,3321,3616,226,-88.92925,0.07691250385250896,0.00010489750711712986,0.8845760978758335,0,0.0,0.0,0.0,,,1.465309834478874,0,0,0.0,-90.66668,-90.66667938232422,0.0,1388.1034038467435
46,1784093837.790962,,5.544488523155451,,4.378781975246966,,7.288828901946545,,1.729949152795598,,3.9304460864514112,,1.2963594123721123,,3.077572719193995,,5.5625,0.0,0.0,0.0,0.0,7569408,3399,3696,231,-84.95174,0.07621972698252648,-0.000568956186180003,0.8207528263330459,0,0.0,0.0,0.0,,,1.5157581386025527,0,0,0.0,-89.08275,-89.08274841308594,0.0,1557.9790423176366
47,1784093946.7036622,,6.1067234724760056,,4.978348622680642,,7.398070450872183,,1.7702709544391837,,3.052623849362135,,2.07486153813079,,3.5365287121385336,,5.1875,0.0,0.0,0.0,0.0,7733248,3476,3776,236,-86.76033,0.08213933988008648,0.00010846177610801533,0.7481871470808983,0,0.0,0.0,0.0,,,1.5424298836916663,0,0,0.0,-79.81809,-79.8180923461914,0.0,1504.3239542127394
48,1784094056.8815706,,5.747506017796695,,2.861731550656259,,6.833228413015604,,1.5844458405626938,,3.4959107264876366,,2.048875321634114,,3.689464945346117,,5.5,0.0,0.0,0.0,0.0,7897088,3559,3856,241,-86.06648,0.06867927059065551,-0.00026007057749666274,0.6664616011083127,0,0.0,0.0,0.0,,,1.5976101126714304,0,0,0.0,-86.68343,-86.68343353271484,0.0,1487.0499026946372
49,1784094167.032251,,5.074415761046112,,3.9424713025800884,,6.556416675448418,,1.6096009117063659,,3.4193196520209312,,2.234529863926582,,3.6211799643933773,,6.0,0.0,0.0,0.0,0.0,8060928,3642,3936,246,-84.621826,0.07940973774529994,3.697631764225662e-05,0.6128858767449856,0,0.0,0.0,0.0,,,1.5877103435264253,0,0,0.0,-84.95433,-84.95433044433594,0.0,1487.4164851097382
50,1784094299.443596,,6.463318297173828,,3.707314794883132,,6.912290584295988,,1.5808888187166303,,3.0729732289910316,,1.9455394987016916,,3.494098107330501,,6.1875,0.0,0.0,0.0,0.0,8224768,3724,4016,251,-84.86577,0.07441597296856343,-0.0003459633589955047,0.5580073349177838,0,0.0,0.0,0.0,,,1.6062346463852328,0,0,0.0,-90.46678,-90.46678161621094,0.0,1237.3569588229084
51,1784094414.0961003,,5.580205969745293,,3.6848640395328403,,6.621270626783371,,2.1130467066541314,,3.3714450476691127,,1.902675493620336,,3.4340541157871485,,5.3125,0.0,0.0,0.0,0.0,8388608,3806,4096,256,-85.07917,0.07439037333242596,-0.0006745101243723183,0.4955248974263668,0,0.0,0.0,0.0,,,1.6514610732137789,0,0,0.0,-85.21043,-85.2104263305664,0.0,1429.0130500993414
52,1784094511.052762,,7.136305272579193,,3.300775808747858,,6.278059603646398,,1.3486599834232038,,3.376447642222047,,1.7656456609256566,,3.182070259936154,,6.0,0.0,0.0,0.0,0.0,8552448,3893,4176,261,-86.79414,0.06792770368047059,-9.486540511716157e-05,0.438608381152153,0,0.0,0.0,0.0,,,1.7648878206379508,0,0,0.0,-82.33882,-82.33882141113281,0.0,1689.8267834322737
